城市,月份,住宅类型,面积段,环比,同比,定基,累计平均,来源URL
广州,2024-01,新建商品住宅,144m2以上,99.5,95.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
广州,2024-01,二手住宅,90m2及以下,98.8,93.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
广州,2024-01,二手住宅,90-144m2,98.7,93.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
广州,2024-01,二手住宅,144m2以上,99.2,94.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
深圳,2024-01,新建商品住宅,全部,99.3,95.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
深圳,2024-01,二手住宅,全部,98.4,94.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
深圳,2024-01,新建商品住宅,90m2及以下,99.4,96.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
深圳,2024-01,新建商品住宅,90-144m2,99.1,95.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
深圳,2024-01,新建商品住宅,144m2以上,99.5,95.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
深圳,2024-01,二手住宅,90m2及以下,98.2,94.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
深圳,2024-01,二手住宅,90-144m2,98.5,94.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
深圳,2024-01,二手住宅,144m2以上,99.0,95.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南宁,2024-01,新建商品住宅,全部,99.4,98.3,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南宁,2024-01,二手住宅,全部,99.4,94.3,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南宁,2024-01,新建商品住宅,90m2及以下,99.0,97.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南宁,2024-01,新建商品住宅,90-144m2,99.5,98.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南宁,2024-01,新建商品住宅,144m2以上,99.5,97.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南宁,2024-01,二手住宅,90m2及以下,99.6,94.0,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
